codigo,descricao,preconormal,precooferta,inicio,fim,secao,familia,pai,camp,obs
29613,ARGILA LABOTRAT BLEND COLAGENO 100G,9.29,7.99,11/09,11/10,HIGIENE CORPORAL,3496,0,,
29614,ARGILA LABOTRAT CINZA COM CARVAO 100G,9.29,7.99,11/09,11/10,HIGIENE CORPORAL,3496,0,,
29615,ARGILA LABOTRAT VERMELHA 100G,9.29,7.99,11/09,11/10,HIGIENE CORPORAL,3496,0,,
29620,KIT PANTENE BAMBU SH+COND,49.29,39.98,01/09,30/09,CUIDADOS COM O CABELO,3048,0,,
30496,SAB EVEN SUAVE AGUA DE COCO 85G,2.69,1.99,24/08,23/09,HIGIENE CORPORAL,1285,0,,
30502,MASCARA SIAGE EUDORA NUTRI DIAMOND 250G,49.99,19.99,03/09,31/10,CUIDADOS COM O CABELO,4915,0,,
30594,KIT HAIR FLY SOS HIDRATACAO SH+COND,18.29,14.99,21/07,23/09,CUIDADOS COM O CABELO,3935,0,,
30595,KIT HAIR FLY SOS NUTRICAO SH+COND,18.29,14.99,21/07,23/09,CUIDADOS COM O CABELO,3935,0,,
30596,KIT HAIR FLY SOS RECONSTRUCAO SH+COND,18.29,14.99,21/07,23/09,CUIDADOS COM O CABELO,3935,0,,
30787,KIT PANTENE BRILHO EXTREMO SH+COND,49.29,39.98,01/09,30/09,CUIDADOS COM O CABELO,3048,0,,
30869,GLITTER RK DIAMONDPOP B.M BG02B,31.69,15.90,05/08,31/10,MAQUIAGENS / ACESSORIOS,3933,1,,
30879,SH PANTENE COLAGENO 175ML,21.99,16.99,01/09,15/10,CUIDADOS COM O CABELO,2965,0,,
30880,SH PANTENE COLAGENO 300ML,34.49,29.98,01/09,15/10,CUIDADOS COM O CABELO,5411,1,,
30882,COND PANTENE COLAGENO 250ML,34.39,29.98,01/09,15/10,CUIDADOS COM O CABELO,5412,0,,
30908,KIT HAIR FLY SOS CACHEADAS E ONDULADAS SH+COND,18.29,14.99,21/07,23/09,CUIDADOS COM O CABELO,3935,1,,
30911,KIT SKALA #MAIS CACHOS SH+COND,19.49,17.99,05/09,30/09,CUIDADOS COM O CABELO,2946,0,,
31606,TINT CASTING 665 FRAMBOESA,43.49,38.99,20/07,18/09,CUIDADOS COM O CABELO,1507,0,,
31607,TINT CASTING 566 CEREJA,43.49,38.99,20/07,18/09,CUIDADOS COM O CABELO,1507,0,,
31608,TINT CASTING 532 PETIT GATEAU,43.49,38.99,20/07,18/09,CUIDADOS COM O CABELO,1507,0,,
31609,TINT CASTING 617 JADE ACINZENTADO,43.49,38.99,20/07,18/09,CUIDADOS COM O CABELO,1507,0,,
31823,SAB PROTEX CARVAO DETOX 85G,3.89,2.79,01/09,15/09,HIGIENE CORPORAL,1332,0,,
32068,ESM HITS GEL GLITTER LONDRES 8ML,9.99,7.99,10/09,10/10,HIGIENE CORPORAL,3171,0,,
32069,ESM HITS GEL GLITTER VIERA 8ML,9.99,7.99,10/09,10/10,HIGIENE CORPORAL,3171,0,,
32070,ESM HITS GEL GLITTER GENEBRA 8ML,9.99,7.99,10/09,10/10,HIGIENE CORPORAL,3171,0,,
32071,ESM HITS GEL GLITTER MADRI 8ML,9.99,7.99,10/09,10/10,HIGIENE CORPORAL,3171,0,,
32072,ESM HITS GEL GLITTER OSLO 8ML,9.99,7.99,10/09,10/10,HIGIENE CORPORAL,3171,0,,
32073,ESM HITS GEL GLITTER ZURIQUE 8ML,9.99,7.99,10/09,10/10,HIGIENE CORPORAL,3171,0,,
32074,ESM HITS GEL GLITTER MILAO 8ML,9.99,7.99,10/09,10/10,HIGIENE CORPORAL,3171,0,,
32075,ESM HITS GEL GLITTER DUBAI 8ML,9.99,7.99,10/09,10/10,HIGIENE CORPORAL,3171,0,,
32076,ESM HITS GEL GLITTER LIMA 8ML,9.99,7.99,10/09,10/10,HIGIENE CORPORAL,3171,0,,
32077,ESM HITS GEL GLITTER ATLANTA 8ML,9.99,7.99,10/09,10/10,HIGIENE CORPORAL,3171,0,,
32079,ESM HITS GEL GLITTER GRAPE JELLY 8ML,9.99,7.99,10/09,10/10,HIGIENE CORPORAL,3171,0,,
32080,ESM HITS GEL GLITTER STRAMBERRY JELLY 8ML,9.99,7.99,10/09,10/10,HIGIENE CORPORAL,3171,0,,
32081,ESM HITS GEL GLITTER CHERRY JELLY 8ML,9.99,7.99,10/09,10/10,HIGIENE CORPORAL,3171,0,,
