codigo,descricao,preconormal,precooferta,inicio,fim,secao,familia
33593,"DESOD AERO DOVE MEN EUCALIPTO 89G",21.29,19.98,04/08,03/09,"HIGIENE CORPORAL",1484
33791,"SH SEDA JUNTINHOS 2EM1 325ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
33794,"SH SEDA JUNTINHOS CACHOS 300ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
33923,"COND SEDA JUNTINHOS MOANA 325ML",17.59,14.99,04/08,03/09,"CUIDADOS COM O CABELO",2477
33956,"SH PALMOLIVE HIALURONICO 350ML",12.39,10.99,03/08,10/08,"CUIDADOS COM O CABELO",1260
33957,"COND PALMOLIVE HIALURONICO 350ML",12.89,11.99,03/08,10/08,"CUIDADOS COM O CABELO",1401
33959,"BEB MISTA TAMPICO FRUTAS CITRICAS 1,5L",6.99,6.99,04/08,10/08,BEBIDAS,4985
34147,"DEFRIZ HAIR FLY ACIDO HIALURONICO 240G",23.99,20.99,24/07,23/08,"CUIDADOS COM O CABELO",4319
34149,"DEFRIZ HAIR FLY VINHO E SEMENTE DE UVA 240G",23.99,20.99,24/07,23/08,"CUIDADOS COM O CABELO",4319
34313,"COND PALMOLIVE FORCA E COLAGENO 350G",12.89,11.99,03/08,10/08,"CUIDADOS COM O CABELO",1401
34321,"SH PALMOLIVE FORCA E COLAGENO 350ML",12.39,10.99,03/08,10/08,"CUIDADOS COM O CABELO",1260
34451,"ESC DENT ORAL-B COMPLETA 5X CARVAO C 2",34.89,28.90,15/07,14/08,"CUIDADOS BUCAL",0
34491,"CARGA GILLETTE MACH3 SENSITIVE L4 P3",79.59,39.98,03/08,10/08,"HIGIENE CORPORAL",0
34499,"IOG GREGO DANONE FLOCOS 90G",3.39,2.99,31/07,10/08,FRIOS,4762
34513,"ESC DENT ORAL-B IND CORES COLLECTION 30 C 4",47.29,39.98,15/07,14/08,"CUIDADOS BUCAL",0
34622,"SAB ALBANY HIDRATACAO INTENSIVA AZUL 85G",1.99,1.59,03/08,10/08,"HIGIENE CORPORAL",4390
34623,"SAB ALBANY SUAVE FEMININO ROSA 85G",1.99,1.59,03/08,10/08,"HIGIENE CORPORAL",4390
34624,"SAB ALBANY HIDRATANTE SUAVIZANTE BRANCO 85G",1.99,1.59,03/08,10/08,"HIGIENE CORPORAL",4390
34625,"SAB ALBANY MEN 4EM1 85G",1.99,1.59,03/08,10/08,"HIGIENE CORPORAL",4390
34626,"SAB ALBANY SUAVE HOMEM VERDE 85G",1.99,1.59,03/08,10/08,"HIGIENE CORPORAL",4390
34627,"SAB ALBANY SUAVE HOMEM AZUL 85G",1.99,1.59,03/08,10/08,"HIGIENE CORPORAL",4390
35092,"CHOC BARRA RECH SNICKERS MOUSSE DE LIMAO 42G",4.99,4.99,04/08,10/08,BOMBONIERE,4203
35423,"AZEITE VILA FLOR EXT VIRG VD 500ML",26.99,25.99,04/08,10/08,"OLEOS / AZEITES",0
35429,"ESC DENT ORAL-B PURIFICATION OU ULTRAFINO",47.79,34.99,15/07,14/08,"CUIDADOS BUCAL",0
35561,"LEITE FERM CHAMYTO TRADICIONAL TP 480G",9.99,6.29,03/08,18/08,FRIOS,2564
35727,"BEB MISTA TAMPICO UVA 1,5L",6.99,6.99,04/08,10/08,BEBIDAS,4985
36228,"BISC RECH BONO MORANGO 90G",2.49,2.49,04/08,10/08,"BISCOITOS / BOLACHAS",5050
36487,"BISC BONO RECH LIMAO 90G",2.49,2.49,04/08,10/08,"BISCOITOS / BOLACHAS",5050
36541,"BISC RECH BONO DOCE DE LEITE 90G",2.49,2.49,04/08,10/08,"BISCOITOS / BOLACHAS",5050
36567,"SAB ALBANY PERFUME BRANCO 85G",1.99,1.59,03/08,10/08,"HIGIENE CORPORAL",4390
36568,"SAB ALBANY PERFUME LARANJA 85G",1.99,1.59,03/08,10/08,"HIGIENE CORPORAL",4390
36598,"MANTEIGA ALAMI C SAL 200G",8.19,7.49,04/08,10/08,FRIOS,0
36620,"BISC RECH BONO CHOCOLATE 90G",2.49,2.49,04/08,10/08,"BISCOITOS / BOLACHAS",5050
36738,"ESC DENT ORAL-B IND BLACK SENSITIVE C/2",29.39,24.99,15/07,14/08,"CUIDADOS BUCAL",0
36983,"SAB ALBANY ANTIBACTERIANO BRANCO 85G",1.99,1.59,03/08,10/08,"HIGIENE CORPORAL",4390
36984,"SAB ALBANY LIMPEZA CUIDADO 85G",1.99,1.59,03/08,10/08,"HIGIENE CORPORAL",4390
36985,"SAB ALBANY PERFUME ROXO 85G",1.99,1.59,03/08,10/08,"HIGIENE CORPORAL",4390
36986,"SAB ALBANY PERFUME VERMELHO 85G",1.99,1.59,03/08,10/08,"HIGIENE CORPORAL",4390
37165,"BTX HAIR FLY TANOX ORGANIC 200G",29.99,24.99,24/07,23/08,"CUIDADOS COM O CABELO",2610
37265,"SH HEAD SHOULDERS OLD SPICE 200ML",23.29,18.99,03/08,10/08,"CUIDADOS COM O CABELO",1317
37421,"WAFER LACTA BIS LAKA 100,8G",9.19,5.99,24/07,10/08,BOMBONIERE,4852
37422,"WAFER LACTA BIS AO LEITE 100,8G",9.19,5.99,24/07,10/08,BOMBONIERE,4852
37544,"FRALDA MUNDO BITA MEGA G C/34UND",37.39,24.99,22/07,21/08,INFANTIS,4699
37545,"FRALDA MUNDO BITA MEGA M C/40UND",37.39,24.99,22/07,21/08,INFANTIS,4699
37546,"FRALDA MUNDO BITA MEGA XG C/32UND",37.39,24.99,22/07,21/08,INFANTIS,4699
