codigo,descricao,preconormal,precooferta,inicio,fim,secao,familia,pai,camp,obs
850,CUBOS DE CARNE DE SOL KG,35.99,29.99,16/09,21/09,ACOUGUE,0,1,,
1021,PALETA C OSSO KG,29.97,26.99,17/09,17/09,ACOUGUE,0,1,,
1216,LARANJA PERA KG,3.49,2.99,18/09,20/09,HORTI FRUTI,0,1,,
1327,COSTELA BOVINA RESFRIADA KG,25.97,24.99,17/09,17/09,ACOUGUE,0,1,,
1374,JERKED BEEF BOV PONTA AGULHA KG,42.99,37.99,17/09,20/09,SALGADOS / DEFUMADOS,0,1,,
1443,BATATA INGLESA KG,8.49,6.99,18/09,20/09,HORTI FRUTI,0,1,,
1459,CEBOLA BRANCA KG,6.99,5.99,18/09,20/09,HORTI FRUTI,0,1,,
1510,ABACATE KG,6.99,4.99,18/09,20/09,HORTI FRUTI,0,1,,
1529,ACEM C OSSO KG,30.99,25.99,17/09,17/09,ACOUGUE,0,1,,
1541,CHA DE FORA KG,42.97,41.99,17/09,17/09,ACOUGUE,0,1,,
1542,CHAMBARIL KG,29.99,25.99,17/09,17/09,ACOUGUE,0,1,,
1702,TOMATE KG,4.99,3.99,18/09,20/09,HORTI FRUTI,0,1,,
1708,PEITO BOVINO C OSSO KG,29.97,25.99,17/09,17/09,ACOUGUE,0,1,,
1713,MUSCULO BOVINO KG,35.97,34.99,17/09,17/09,ACOUGUE,0,1,,
10302,BEBIDA LACTEA FERM BETANIA COCO 540G,5.99,4.99,10/09,21/09,FRIOS,878,0,,
11763,BISC BAUDUCCO CEREALE CASTANHA 170G,6.99,3.89,16/09,25/09,BISCOITOS / BOLACHAS,5022,1,,
12013,TINT CR COR TON 11.11 LOU MT CL PRATA,18.79,12.99,15/09,21/09,CUIDADOS COM O CABELO,1482,0,,
12014,TINT CR COR TON 12.11 LOUR PLAT CZ,18.79,12.99,15/09,21/09,CUIDADOS COM O CABELO,1482,0,,
12106,COND TRESEMME DETOX 400ML,33.49,19.99,25/08,30/09,CUIDADOS COM O CABELO,1878,0,,
12108,CR TRAT TRESEMME DETOX 400ML,34.29,19.99,25/08,30/09,CUIDADOS COM O CABELO,1687,0,,
12143,SH TRESEMME DETOX 400ML,33.39,19.99,25/08,30/09,CUIDADOS COM O CABELO,1593,0,,
12165,DESOD AERO MONANGE LAVANDA 150ML,11.59,8.99,15/09,21/09,HIGIENE CORPORAL,2503,0,,
12166,DESOD AERO MONANGE FRUTAS VERMELHAS 150ML,11.59,8.99,15/09,21/09,HIGIENE CORPORAL,2503,0,,
12168,DESOD AERO MONANGE HIDRATACAO INTENSA 150ML,11.59,8.99,15/09,21/09,HIGIENE CORPORAL,2503,1,,
12169,DESOD AERO MONANGE SEM PERFUME 150ML,11.59,8.99,15/09,21/09,HIGIENE CORPORAL,2503,0,,
13161,FEIJAO RIQUEZA CARIOCA 1KG,8.49,6.99,17/09,20/09,ACUCAR / ARROZ / GRAOS,0,1,,
13387,COND DOVE RECUPERACAO EXTREMA 200ML,26.99,9.99,12/08,30/09,CUIDADOS COM O CABELO,1480,0,,
13402,SH DOVE RECUPERACAO EXTREMA 200ML,22.69,9.99,12/08,30/09,CUIDADOS COM O CABELO,1475,1,,
13846,"AMAC CONC DOWNY BRISA DE VERAO 1,5L",49.59,42.99,19/08,18/09,LIMPEZA,3501,0,,
13875,DESOD AERO MONANGE ULTRA PROTECAO 150ML,11.59,8.99,15/09,21/09,HIGIENE CORPORAL,2503,0,,
13894,COND PALMOLIVE NATURALS OLEO SURPREENDENTE CAMELIA 350ML,11.99,7.90,09/09,30/09,CUIDADOS COM O CABELO,1401,0,,
13923,SH PALMOLIVE NATURALS OLEO SURPREENDENTE CAMELIA 350ML,12.39,7.90,09/09,30/09,CUIDADOS COM O CABELO,1260,0,,
14208,LEITE UHT BETANIA SEMI DESN VITAMINAS 1L,6.99,5.99,15/09,21/09,ACHOCOLATADOS / LEITES,0,1,,
14338,"AMAC DOWNY LIRIOS DO CAMPO 1,5L",49.59,42.99,19/08,18/09,LIMPEZA,3501,0,,
14990,"WAFER LACTA  BIS OREO CHOCOLATE BRANCO 100,8G",9.19,5.99,10/09,30/09,BISCOITOS / BOLACHAS,4852,0,,
15094,DESOD AERO OLD SPICE VIP 93G,23.29,19.98,16/09,16/10,HIGIENE CORPORAL,2770,0,,
15095,DESOD AERO OLD SPICE LENHA 93G,23.29,19.98,16/09,16/10,HIGIENE CORPORAL,2770,1,,
16339,CR DENT SORRISO TRIPLA LIMPEZA COMPLETA 70G,3.69,3.19,19/08,18/09,CUIDADOS BUCAL,0,1,,
16925,DESOD AERO OLD SPICE MATADOR 93G,23.29,19.98,16/09,16/10,HIGIENE CORPORAL,2770,0,,
16928,DESOD AERO OLD SPICE PEGADOR 93G,23.29,19.98,16/09,16/10,HIGIENE CORPORAL,2770,0,,
16967,TINT COR TON MEGA COLORS 1.110,18.79,12.99,15/09,21/09,CUIDADOS COM O CABELO,1482,0,,
16968,TINT COR TON MEGA COLORS 12.111,18.79,12.99,15/09,21/09,CUIDADOS COM O CABELO,1482,0,,
16969,TINT COR TON MEGA COLORS 12.891,18.79,12.99,15/09,21/09,CUIDADOS COM O CABELO,1482,0,,
16971,TINT COR TON MEGA COLORS 5.546,18.79,12.99,15/09,21/09,CUIDADOS COM O CABELO,1482,0,,
16973,TINT COR TON MEGA COLORS 6.646,18.79,12.99,15/09,21/09,CUIDADOS COM O CABELO,1482,0,,
16978,ESC DENT ORAL-B IND PLUS 30 L2P1,28.89,19.98,21/08,20/09,CUIDADOS BUCAL,4175,1,,
16980,ESC DENT ORAL-B IND PLUS 35 L2P1,28.89,19.98,21/08,20/09,CUIDADOS BUCAL,4175,0,,
16981,ESC DENT ORAL-B IND PLUS 40 L2P1,28.89,19.98,21/08,20/09,CUIDADOS BUCAL,4175,0,,
16982,COND DOVE ULTRA CACHOS 200ML,26.99,9.99,12/08,30/09,CUIDADOS COM O CABELO,1480,0,,
17006,SH DOVE ULTRA CACHOS 200ML,22.69,9.99,12/08,30/09,CUIDADOS COM O CABELO,1475,0,,
17007,SH HEAD SHOULDERS OLEOSIDADE 200ML,23.29,19.98,21/08,20/09,CUIDADOS COM O CABELO,1317,0,,
17037,DESOD AERO MONANGE INVISIVEL 150ML,11.59,8.99,15/09,21/09,HIGIENE CORPORAL,2503,0,,
17438,"SORV KIBON CREMOSISSIMO CREME 1,5L",31.99,18.90,04/09,30/09,FRIOS,3303,0,,
17439,"SORV KIBON CREMOSISSIMO FLOCOS 1,5L",31.99,18.90,04/09,30/09,FRIOS,3303,0,,
17457,COND DOVE RITUAL DE REPARACAO 200ML,26.99,9.99,12/08,30/09,CUIDADOS COM O CABELO,1480,0,,
17458,SH DOVE RITUAL DE REPARACAO 200ML,22.69,9.99,12/08,30/09,CUIDADOS COM O CABELO,1475,0,,
18757,DESOD AERO OLD SPICE CABRA MACHO 93G,23.29,19.98,16/09,16/10,HIGIENE CORPORAL,2770,0,,
19396,CR TRAT TRESEMME BAIXO POO 400G,34.29,19.99,25/08,30/09,CUIDADOS COM O CABELO,1687,0,,
19447,"SORV KIBON CREMOSISSIMO NAPLITANO 1,5L",31.99,18.90,04/09,30/09,FRIOS,3303,1,,
19448,SORV KIBOM CREMOS NAPOLITANO+FLOCOS 4EM1 2L,42.49,27.90,04/09,30/09,FRIOS,4870,1,,
