codigo,descricao,preconormal,precooferta,inicio,fim,secao,familia,pai,camp,obs
850,CUBOS DE CARNE DE SOL KG,35.99,29.99,16/09,21/09,ACOUGUE,0,1,,
1067,MORTADELA PERDIGAO FRANGO KG,13.79,9.99,15/09,21/09,FRIOS,0,1,,
1109,MORTADELA PERDIGAO SUINO KG,12.19,8.99,15/09,21/09,FRIOS,0,1,,
1354,COXA C SOBRECOXA RESFRIADA KG,15.89,11.49,16/09,20/09,AVES,0,1,,
1391,FILE DE PEITO FRANGO RESFRIADO KG,26.69,21.99,16/09,20/09,AVES,0,1,,
1487,ASA DE FRANGO RESFRIADA KG,21.99,16.99,18/09,20/09,AVES,0,1,,
1718,PEITO DE FRANGO RESF KG,20.79,14.99,16/09,20/09,AVES,0,1,,
10302,BEBIDA LACTEA FERM BETANIA COCO 540G,6.29,4.99,10/09,21/09,FRIOS,878,0,,
10327,AMAC COMFORT CONC PREMIUM ENERGY 500ML,13.99,9.99,18/09,20/09,LIMPEZA,3710,0,,
10329,AMAC COMFORT CONC PREMIUM LIRIO 500ML,13.99,9.99,18/09,20/09,LIMPEZA,3710,0,,
10884,DESOD AERO DOVE POWER SOFT 89G,21.29,18.99,17/09,17/10,HIGIENE CORPORAL,1484,0,,
11598,SH SEDA CACHOS COMPORTADOS 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,1,,
11599,SH SEDA CRESCIMENTO 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
11602,SH SEDA ANTICASPA HID DIARIA 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
11603,SH SEDA KERAFORCE ORIGINAL 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
11607,SH SEDA PRETOS LUMINOSOS 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
11608,SH SEDA PUREZA REFRESCANTE 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
11609,COND SEDA CACHOS DEFINIDOS 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,1,,
11610,COND SEDA CRESCIMENTO 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
11611,COND SEDA ANTIQUEBRA 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
11612,COND SEDA HID ANTI NOS 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
11613,COND SEDA KERAFORCE ORIG 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
11615,COND SEDA LISO EXTREMO 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
11616,COND SEDA LISO PERFEITO 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
11617,COND SEDA OLEO HIDRATACAO 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
11618,COND SEDA PRETOS LUMINOSOS 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
11619,COND SEDA SOS CERAMIDAS 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
11620,COND SEDA SOS RESTAURACAO 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
11986,SH SEDA FORCA E ANTIQUEBRA 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
11987,SH SEDA HID ANTI-NOS 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
12006,KIT NIELY OLEO DE COCO SH + COND,27.69,19.98,18/09,18/10,CUIDADOS COM O CABELO,1566,0,,
12014,TINT CR COR TON 12.11 LOUR PLAT CZ,18.79,12.99,15/09,21/09,CUIDADOS COM O CABELO,1482,0,,
12097,SH SEDA RESTAURACAO 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
12098,SH SEDA LISO PERFEITO 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
12099,SH SEDA OLEO HIDRATACAO 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
12106,COND TRESEMME DETOX 400ML,33.49,19.99,25/08,30/09,CUIDADOS COM O CABELO,1878,0,,
12108,CR TRAT TRESEMME DETOX 400ML,34.29,19.99,25/08,30/09,CUIDADOS COM O CABELO,1687,0,,
12143,SH TRESEMME DETOX 400ML,33.39,19.99,25/08,30/09,CUIDADOS COM O CABELO,1593,0,,
12149,SH SEDA CERAMIDAS 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
12150,SH SEDA LISO EXTREMO 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
12165,DESOD AERO MONANGE LAVANDA 150ML,11.59,8.99,15/09,21/09,HIGIENE CORPORAL,2503,0,,
12166,DESOD AERO MONANGE FRUTAS VERMELHAS 150ML,11.59,8.99,15/09,21/09,HIGIENE CORPORAL,2503,0,,
12168,DESOD AERO MONANGE HIDRATACAO INTENSA 150ML,11.59,8.99,15/09,21/09,HIGIENE CORPORAL,2503,1,,
12169,DESOD AERO MONANGE SEM PERFUME 150ML,11.59,8.99,15/09,21/09,HIGIENE CORPORAL,2503,0,,
13387,COND DOVE RECUPERACAO EXTREMA 200ML,26.99,9.99,12/08,30/09,CUIDADOS COM O CABELO,1480,0,,
13402,SH DOVE RECUPERACAO EXTREMA 200ML,22.69,9.99,12/08,30/09,CUIDADOS COM O CABELO,1475,1,,
13456,KIT NIELY CACHOS DEFINICAO PRONLOGADA SH + COND,27.69,19.98,18/09,18/10,CUIDADOS COM O CABELO,1566,0,,
13846,"AMAC CONC DOWNY BRISA DE VERAO 1,5L",49.59,26.99,25/09,27/09,LIMPEZA,3501,0,,
13875,DESOD AERO MONANGE ULTRA PROTECAO 150ML,11.59,8.99,15/09,21/09,HIGIENE CORPORAL,2503,0,,
