codigo,descricao,preconormal,precooferta,inicio,fim
46307,"LAVA ROUPAS UAU ACTIVE 1,7L",18.99,15.99,23/06,29/09
46308,"LAVA ROUPAS UAU PERF COCO E VANILA 1,7L",18.99,15.99,23/06,29/09
46466,"SAB LIQ PALMOLIVE NATURALS SEGREDO SEDUTOR RF 200ML",10.99,5.99,03/08,10/08
46468,"SAB LIQ PALMOLIVE NATURALS MELANCIA E LICHIA RF 200ML",10.99,5.99,03/08,10/08
46480,"SALG SALSITOS PRESUNTO 32G",1.99,1.99,04/08,10/08
46481,"SALG SALSITOS QUEIJO 32G",1.99,1.99,04/08,10/08
46521,"LENCO UMED MUNDO BITA C/140",10.29,8.99,22/07,21/08
46598,"SAND RIDER BRASIL MASC BV253 AZ/B N37 A 44",33.29,29.99,03/08,10/08
46599,"SAND RIDER BRASIL MASC BV254 PT/B N37 A 44",33.29,29.99,03/08,10/08
46600,"SAND RIDER BRASIL MASC BV255 BR/A N37 A 44",33.29,29.99,03/08,10/08
46601,"SAND RIDER BRASIL MASC BV267 AZ/B N37 A 44",33.29,29.99,03/08,10/08
46671,"ENERG MORMAII PET 2L",12.97,11.99,23/06,29/09
46713,"SAB LIQ PALMOLIVE NUTRI MILK RF 200ML",10.99,5.99,03/08,10/08
46719,"CR DENT SORRISO SUP REFRESC JUA HORTELA 70G",3.99,2.95,22/07,21/08
46798,"LAVA ROUPAS EVA VERDE 3L",14.49,12.99,07/07,06/08
46891,"BISC RECH PASSATEMPO CHOC 130G 10%GRATIS",2.75,2.75,04/08,10/08
46895,"CERVEJA HEINEKEN 473ML",6.99,6.99,04/08,10/08
47064,"SAB ALBANY PERFUME JASMIM 80G",1.99,1.59,03/08,10/08
47065,"SAB ALBANY PERFUME CAPIM E LIMAO 80G",1.99,1.59,03/08,10/08
47072,"LAVA ROUPAS LIMPA JA VERDE 5L",21.49,17.99,01/08,06/08
47076,"CR PENT SEDA CRESCIMENTO E FORCA 300ML",13.99,12.49,04/08,03/09
47077,"SH SEDA CRESCIMENTO E FORCA 325ML",16.49,13.99,04/08,03/09
47078,"COND SEDA CRESCIMENTO E FORCA 250ML",17.59,14.99,04/08,03/09
47082,"SH SEDA MEGA CRESCIMENTO 300ML",16.49,13.99,04/08,03/09
47085,"COND SEDA MEGA CRESCIMENTO 250ML",17.59,14.99,04/08,03/09
47086,"CR PENT SEDA MEGA CRESCIMENTO 300ML",13.99,12.49,04/08,03/09
115584,"SH PALMOLIVE NATURALS CUIDADO ABSOLUTO 350ML",12.39,10.99,03/08,10/08
115592,"COND PALMOLIVE CACAU 350G",12.89,11.99,03/08,10/08
116971,"CR PENT SEDA BOOM TRANSICAO 295ML",13.99,12.49,04/08,03/09
118923,"SH HEAD SHOULDERS DETOX 200ML",23.29,18.99,03/08,10/08
123382,"SH SEDA BABOSA 325ML",16.49,13.99,04/08,03/09
123390,"COND SEDA BABOSA E OLEOS 325ML",17.59,14.99,04/08,03/09
123412,"CR PENT SEDA BABOSA E OLEOS 300ML",13.99,12.49,04/08,03/09
124680,"IOG BETANIA BI CAMADA AMEIXA 150G",4.59,2.99,30/07,08/08
125326,"SAB PROTEX PROF ANT ESPINHAS 85G",3.89,2.99,03/08,10/08
125334,"SAB PROTEX MACADAMIA 85G",3.89,2.99,03/08,10/08
125342,"SAB LIQ PALMOLIVE NATURALS JASMIM RF 200ML",10.99,5.99,03/08,10/08
128457,"IOG BATAVO GREGO PENSE ZERO MORANGO 100G",3.69,2.69,30/07,09/08
131369,"ACHOC TODDYNHO LEVINHO CHOC 200ML",2.49,2.25,04/08,10/08
136611,"WAFER LACTA BIS BLACK 100,8G",9.19,5.99,24/07,10/08
138835,"DESOD AERO REXONA WOMAN ERVA DOCE 90G",18.79,16.99,04/08,03/09
144894,"SH PALMOLIVE BRILHO FASCINANTE 350ML",12.39,10.99,03/08,10/08
146706,"SH SEDA MICELAR 325ML",16.49,13.99,04/08,03/09
146714,"COND SEDA MICELAR 325ML",17.59,14.99,04/08,03/09
155969,"DESOD AERO REXONA UNISSEX NOW 150ML",18.79,16.99,04/08,03/09
159891,"LAVA ROUPAS OMO LAVANDA 3L",42.39,29.98,03/08,10/08
163767,"CAPSULA SANTA CLARA CLASSICO 7.5G",24.69,19.99,04/08,10/08
163937,"DESOD AERO REXONA WOMEM FRUT VERM 150ML",18.79,16.99,04/08,03/09
172928,"CHOC BARRA RECH SNICKERS 45G",4.99,4.99,04/08,10/08
193810,"ABS ALWAYS BASICO SECA C ABAS 32UND",22.39,12.99,03/08,10/08
194506,"SH PALMOLIVE NATURALS DETOX ENERGIZANTE 350ML",12.39,10.99,03/08,10/08
194514,"COND PALMOLIVE NATURALS DETOX ENERGIZANTE 350ML",12.89,11.99,03/08,10/08
