codigo,descricao,preconormal,precooferta,inicio,fim,secao,familia,pai,camp,obs
1083,MORTADELA SEARA DEFUMADO KG,21.49,17.99,22/09,27/09,FRIOS,0,1,,
1320,LING CALABRESA PERDIGAO KG,35.99,28.99,22/09,27/09,SALGADOS / DEFUMADOS,0,1,,
1374,JERKED BEEF BOV PONTA AGULHA KG,42.99,38.99,21/09,24/09,SALGADOS / DEFUMADOS,0,1,,
1737,FIGADO BOVINO CONG KG,18.49,16.99,22/09,27/09,BOVINOS / CAPRINO / SUINOS / OUVINO,0,1,,
1826,SALSICHA PERDIGAO HOT DOG KG,14.59,11.99,22/09,27/09,FRIOS,0,1,,
10008,DIPIRONA SODICA C 10 500MG,12.99,9.99,17/09,30/09,FARMACIA,0,1,,
10221,SAB PROTEX COMPLETE 12 85G,3.89,2.79,21/09,30/09,HIGIENE CORPORAL,1332,0,,
10884,DESOD AERO DOVE POWER SOFT 89G,21.29,18.99,17/09,17/10,HIGIENE CORPORAL,1484,0,,
11598,SH SEDA CACHOS COMPORTADOS 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
11599,SH SEDA CRESCIMENTO 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
11602,SH SEDA ANTICASPA HID DIARIA 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,1,,
11603,SH SEDA KERAFORCE ORIGINAL 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
11607,SH SEDA PRETOS LUMINOSOS 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
11608,SH SEDA PUREZA REFRESCANTE 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
11609,COND SEDA CACHOS DEFINIDOS 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,1,,
11610,COND SEDA CRESCIMENTO 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
11611,COND SEDA ANTIQUEBRA 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
11612,COND SEDA HID ANTI NOS 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
11613,COND SEDA KERAFORCE ORIG 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
11615,COND SEDA LISO EXTREMO 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
11616,COND SEDA LISO PERFEITO 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
11617,COND SEDA OLEO HIDRATACAO 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
11618,COND SEDA PRETOS LUMINOSOS 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
11619,COND SEDA SOS CERAMIDAS 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
11620,COND SEDA SOS RESTAURACAO 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
11986,SH SEDA FORCA E ANTIQUEBRA 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
11987,SH SEDA HID ANTI-NOS 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
12006,KIT NIELY OLEO DE COCO SH + COND,27.69,19.98,29/09,18/10,CUIDADOS COM O CABELO,1566,0,,
12097,SH SEDA RESTAURACAO 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
12098,SH SEDA LISO PERFEITO 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
12099,SH SEDA OLEO HIDRATACAO 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
12106,COND TRESEMME DETOX 400ML,33.49,19.99,25/08,30/09,CUIDADOS COM O CABELO,1878,0,,
12108,CR TRAT TRESEMME DETOX 400ML,34.29,19.99,25/08,30/09,CUIDADOS COM O CABELO,1687,0,,
12143,SH TRESEMME DETOX 400ML,33.39,19.99,25/08,30/09,CUIDADOS COM O CABELO,1593,0,,
12149,SH SEDA CERAMIDAS 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
